Salem, OR,90.8,1.6,79.1,2.2,,,,,,,
Salinas, CA,84.6,2.2,74.1,2.5,,,,,,,
Salisbury, MD-DE,88.3,1.1,73.8,2.0,,,,,,,
Salt Lake City, UT,94.8,0.5,81.7,1.1,,,,,,,
San Angelo, TX,85.1,3.5,74.9,4.0,,,,,,,
San Antonio-New Braunfels, TX,87.0,0.7,75.6,0.9,,,,,,,
San Diego-Carlsbad, CA,92.1,0.5,85.3,0.7,,,,,,,
San Francisco-Oakland-Hayward, CA,93.4,0.3,86.7,0.5,,,,,,,
San Jose-Sunnyvale-Santa Clara, CA,94.4,0.5,88.5,0.8,,,,,,,
San Luis Obispo-Paso Robles-Arroyo Grande, CA,93.3,1.2,83.8,2.3,,,,,,,
Santa Cruz-Watsonville, CA,92.0,1.8,83.7,2.8,,,,,,,
Santa Fe, NM,88.6,1.7,73.8,2.5,,,,,,,
Santa Maria-Santa Barbara, CA,85.7,1.6,74.9,2.1,,,,,,,
Santa Rosa, CA,92.7,1.2,85.2,1.9,,,,,,,
Savannah, GA,87.4,1.6,76.8,2.0,,,,,,,
Scranton--Wilkes-Barre--Hazleton, PA,85.5,1.1,75.4,1.3,,,,,,,
Seattle-Tacoma-Bellevue, WA,93.8,0.4,86.4,0.5,,,,,,,
Sebastian-Vero Beach, FL,88.6,2.2,78.7,2.7,,,,,,,
Sebring, FL,75.7,4.1,64.7,4.9,,,,,,,
Sheboygan, WI,88.9,1.9,81.6,2.4,,,,,,,
Sherman-Denison, TX,89.4,2.1,70.5,4.1,,,,,,,
Shreveport-Bossier City, LA,81.1,1.4,67.5,1.9,,,,,,,
Sierra Vista-Douglas, AZ,88.9,1.9,78.6,2.9,,,,,,,
Sioux City, IA-NE-SD,86.0,2.0,71.9,2.4,,,,,,,
Sioux Falls, SD,91.7,1.3,80.5,2.0,,,,,,,
South Bend-Mishawaka, IN-MI,86.6,1.3,73.8,2.2,,,,,,,
Spartanburg, SC,85.8,1.7,75.5,2.1,,,,,,,
Spokane-Spokane Valley, WA,91.0,1.0,82.3,1.4,,,,,,,
Springfield, IL,92.1,1.2,81.7,2.1,,,,,,,
Springfield, MA,87.8,1.1,80.5,1.4,,,,,,,
Springfield, MO,87.4,1.2,71.9,2.0,,,,,,,
Springfield, OH,86.2,1.9,75.0,2.5,,,,,,,
St. Cloud, MN,91.7,0.9,79.7,2.3,,,,,,,
St. George, UT,95.4,1.3,83.4,4.0,,,,,,,
St. Joseph, MO-KS,86.3,2.1,72.5,3.0,,,,,,,
St. Louis, MO-IL,89.2,0.4,80.2,0.6,,,,,,,
State College, PA,90.0,1.9,85.1,2.1,,,,,,,
Staunton-Waynesboro, VA,81.8,2.8,69.5,4.0,,,,,,,
Stockton-Lodi, CA,87.5,1.2,77.2,1.7,,,,,,,
Sumter, SC,82.9,3.2,71.9,3.8,,,,,,,
Syracuse, NY,88.6,0.9,81.1,1.2,,,,,,,
Tallahassee, FL,91.0,1.2,77.7,2.3,,,,,,,
Tampa-St. Petersburg-Clearwater, FL,88.4,0.5,80.7,0.5,,,,,,,
Terre Haute, IN,84.4,2.2,71.0,3.0,,,,,,,
Texarkana, TX-AR,83.3,2.4,66.6,3.5,,,,,,,
The Villages, FL,91.0,2.7,80.7,3.3,,,,,,,
Toledo, OH,89.4,0.8,77.6,1.2,,,,,,,
Topeka, KS,87.7,1.4,76.2,2.3,,,,,,,
Trenton, NJ,90.9,1.2,84.1,1.5,,,,,,,
Tucson, AZ,89.6,0.8,78.4,1.2,,,,,,,
Tulsa, OK,86.8,0.7,74.8,0.9,,,,,,,
Tuscaloosa, AL,81.4,2.3,73.3,2.7,,,,,,,
Tyler, TX,88.6,2.1,79.1,2.6,,,,,,,
Urban Honolulu, HI,92.7,0.6,85.2,1.0,,,,,,,
Utica-Rome, NY,85.3,1.5,76.1,2.3,,,,,,,
Valdosta, GA,83.8,2.7,71.0,3.5,,,,,,,
Vallejo-Fairfield, CA,90.9,1.3,83.7,1.7,,,,,,,
Victoria, TX,80.8,3.3,68.9,3.5,,,,,,,
Vineland-Bridgeton, NJ,88.5,1.9,75.8,3.3,,,,,,,
Virginia Beach-Norfolk-Newport News, VA-NC,91.4,0.5,82.5,0.7,,,,,,,
Visalia-Porterville, CA,75.7,1.9,61.9,2.6,,,,,,,
Waco, TX,84.6,2.1,65.5,2.7,,,,,,,
Walla Walla, WA,85.7,3.7,74.4,5.4,,,,,,,
Warner Robins, GA,84.1,2.7,75.3,3.3,,,,,,,
Washington-Arlington-Alexandria, DC-VA-MD-WV,94.1,0.3,87.0,0.4,,,,,,,
Waterloo-Cedar Falls, IA,89.8,1.4,84.1,1.6,,,,,,,
Watertown-Fort Drum, NY,92.5,1.5,82.1,2.9,,,,,,,
Wausau, WI,87.5,1.6,78.8,2.5,,,,,,,
Weirton-Steubenville, WV-OH,82.2,2.1,71.7,3.3,,,,,,,
Wenatchee, WA,89.3,3.2,69.2,4.7,,,,,,,
Wheeling, WV-OH,84.8,1.8,74.7,2.4,,,,,,,
Wichita, KS,87.7,1.2,76.4,1.5,,,,,,,
Wichita Falls, TX,88.6,1.7,75.9,2.8,,,,,,,
